Mina;Destino;Tipo Material;Grupo ;Distancia;Rango;Pertenencia;;
Esteril La Reliquia;Ratón Pelado;Esteril;OME;1,8; 0 a 3 ;Segovia;;
Esteril la Bombita;Ratón Pelado;Esteril;OME;3; 0 a 3 ;Segovia;;
PP ESTERIL EL SILENCIO;Ratón Pelado;Esteril;AMS;3; 0 a 3 ;NA;;
PP ESTERIL PROVIDENCIA;Shaft Providencia;Esteril;AMS;3; 0 a 3 ;NA;;
Limo - Alianza Planta MD;Planta Md;Limo;OME;3; 0 a 3 ;NA;;
Maria Dama - Plaza Trio;Plaza Trio;Limo;OME;3; 0 a 3 ;NA;;
Limo - Alianza Minera Silencio;Plaza Trio;Limo;OME;3,1; 3,1 a 8 ;NA;;
PP ESTERIL PROVIDENCIA;Coliseo;Esteril;AMS;3,1; 3,1 a 8 ;NA;;
PP ESTERIL SANDRA K;Alto De Utiquio;Esteril;AMS;3,5; 3,1 a 8 ;NA;;
PP-ESTERIL-OME (MONARCA);Lote Camambolo;Esteril;OME;5,6; 3,1 a 8 ;Segovia;;
Esteril Los Cristales Sociedad Minera S.A.S;Ratón Pelado;Esteril;OME;4; 3,1 a 8 ;Segovia;;
PP-ESTERIL-OME ALIANZA MINER (SK3,7);Ratón Pelado;Esteril;OME;4,3; 3,1 a 8 ;Segovia;;
Limo Alianza Miner - Plaza Trio;Plaza Trio;Limo;OME;4,3; 3,1 a 8 ;NA;;
PP ESTERIL EL SILENCIO - ALIANZA MINER;Ratón Pelado;Esteril;AMS;4,3; 3,1 a 8 ;NA;;
PP ESTERIL PROVIDENCIA;Alto De Utiquio;Esteril;AMS;8,1; 8,1 a 20 ;NA;;
Esteril Antioquia Gold;Ratón Pelado;Esteril;OME;4,5; 3,1 a 8 ;Segovia;;
Esteril La Guarida;Ratón Pelado;Esteril;OME;4,5; 3,1 a 8 ;Remedios;;
Esteril Verdolaga;Ratón Pelado;Esteril;OME;4,5; 3,1 a 8 ;Remedios;;
Esteril la Abundancia;Ratón Pelado;Esteril;OME;5; 3,1 a 8 ;Remedios;;
PP-ESTERIL-OME (LA GINA);Ratón Pelado;Esteril;OME;5; 3,1 a 8 ;Remedios;;
PP-ESTERIL-OME (TRES Y MEDIA);Ratón Pelado;Esteril;OME;5; 3,1 a 8 ;Remedios;;
PP-ESTERIL-OME (FUTURE GOLD);Ratón Pelado;Esteril;OME;5,2; 3,1 a 8 ;Remedios;;
PP ESTERIL PROVIDENCIA;Lote Camambolo;Esteril;AMS;5,3; 3,1 a 8 ;NA;;
Esteril el Bloque;Ratón Pelado;Esteril;OME;5,4; 3,1 a 8 ;Remedios;;
Esteril Explominerales;Shaft Providencia;Esteril;OME;5,8; 3,1 a 8 ;Remedios;;
PP ESTERIL CARLA;Lote Camambolo;Esteril;AMS;6,3; 3,1 a 8 ;NA;;
PP ESTERIL SANDRA K;Shaft Providencia;Esteril;AMS;6,7; 3,1 a 8 ;NA;;
PP ESTERIL EL SILENCIO - ALIANZA MINER;Lote Camambolo;Esteril;AMS;6,9; 3,1 a 8 ;NA;;
PP-ESTERIL-OME (LA GINA);Lote Camambolo;Esteril;AMS;6,8; 3,1 a 8 ;Remedios;;
PP-ESTERIL-OME (LA CUENCA);Ratón Pelado;Esteril;OME;8; 3,1 a 8 ;Remedios;;
PP ESTERIL PROVIDENCIA;Puente Roto;Esteril;AMS;8,2; 8,1 a 20 ;NA;;
Esteril Korea;Ratón Pelado;Esteril;OME;8,3; 8,1 a 20 ;Remedios;;
PP ESTERIL CARLA;Shaft Providencia;Esteril;AMS;8,4; 8,1 a 20 ;NA;;
PP-ESTERIL-OME (TRES Y MEDIA);Shaft Providencia;Esteril;OME;9; 8,1 a 20 ;Remedios;;
Esteril La Gina;Shaft Providencia;Esteril;OME;10,9; 8,1 a 20 ;Remedios;;
PP ESTERIL CARLA;Ratón Pelado;Esteril;AMS;17,5; 8,1 a 20 ;NA;;
PP ESTERIL EL SILENCIO - ALIANZA MINER;Poma Rosa;Esteril;AMS;11; 8,1 a 20 ;NA;;
PP ESTERIL SANDRA K;Lote Camambolo;Esteril;AMS;11,3; 8,1 a 20 ;NA;;
Limo Alianza Miner;Lote V&E;Limo;OME;11,3; 8,1 a 20 ;NA;;
Esteril Fenix Gold;Ratón Pelado;Esteril;OME;11,8; 8,1 a 20 ;Remedios;;
PP ESTERIL EL SILENCIO - ÑEME ÑEME;Shaft Providencia;Esteril;AMS;13,3; 8,1 a 20 ;NA;;
Esteril Standard Gold;Ratón Pelado;Esteril;OME;13,5; 8,1 a 20 ;Remedios;;
PP ESTERIL PROVIDENCIA;Ratón Pelado;Esteril;AMS;14; 8,1 a 20 ;NA;;
Esteril Palma Bonita;Ratón Pelado;Esteril;OME;14,7; 8,1 a 20 ;Remedios;;
PP-ESTERIL-OME (EXPLOMINERALES);Ratón Pelado;Esteril;OME;17,4; 8,1 a 20 ;Remedios;;
PP ESTERIL SANDRA K;Puente Roto;Esteril;AMS;17,8; 8,1 a 20 ;NA;;
PP ESTERIL SANDRA K;Ratón Pelado;Esteril;AMS;18; 8,1 a 20 ;NA;;
PP ESTERIL EL SILENCIO - ALIANZA MINER;Shaft Providencia;Esteril;AMS;18,3; 8,1 a 20 ;NA;;
Esteril Oma;Ratón Pelado;Esteril;OME;18,6; 8,1 a 20 ;Remedios;;
Esteril La Reliquia;Shaft Providencia;Esteril;OME;18,6; 8,1 a 20 ;Segovia;;
PP ESTERIL PROVIDENCIA;Poma Rosa;Esteril;AMS;3; 0 a 3 ;NA;;
PP ESTERIL SANDRA K;Poma Rosa I;Esteril;AMS;8,8; 8,1 a 20 ;NA;;
PP ESTERIL EL SILENCIO - ALIANZA MINER;Alto De Utiquio;Esteril;AMS;11,7; 8,1 a 20 ;NA;;
PP-ESTERIL-OME (LA RELIQUIA);Lote Camambolo;Esteril;OME;5,9; 3,1 a 8 ;Segovia;;
PP-ESTERIL-OME (TRES Y MEDIA);Lote Camambolo;Esteril;OME;3; 0 a 3 ;Remedios;;
PP-ESTERIL-OME (LA VERDOLAGA);Lote Camambolo;Esteril;OME;3,3; 3,1 a 8 ;Remedios;;
PP-ESTERIL-OME (EL BLOQUE);Sandra K;Esteril;OME;3,6; 3,1 a 8 ;Segovia;;
OME-ESTERIL (LA 17);Shaft Providencia;Esteril;OME;8; 3,1 a 8 ;Remedios;;
OME-ESTERIL (LA 17);Alto De Utiquio;Esteril;OME;5; 3,1 a 8 ;Remedios;;
PP ESTERIL CARLA;Ni;Esteril;AMS;11; 8,1 a 20 ;NA;;
PP ESTERIL CARLA;Machete Gold;Esteril;AMS;15,5; 8,1 a 20 ;NA;;
